,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
0,0,8,9.0,9.0,0.0,8,256
1,1,8,9.0,4.0,0.0,2,256
2,0,8,9.0,7.0,0.0,5,256
3,647,8,9.0,2.0,0.0,0,256
4,0,8,9.0,8.0,0.0,6,256
5,0,8,9.0,4.0,1.0,2,256
6,0,8,9.0,6.0,0.0,3,256
7,23,8,9.0,2.0,1.0,0,256
8,0,8,9.0,8.0,0.0,6,256
9,221,8,9.0,3.0,0.0,0,256
10,0,8,9.0,7.0,1.0,5,256
11,107,8,9.0,2.0,1.0,0,256
12,0,8,9.0,7.0,0.0,4,256
13,3,8,9.0,3.0,1.0,0,256
14,0,8,9.0,6.0,1.0,3,256
15,1,8,9.0,2.0,2.0,0,256
16,0,8,9.0,7.0,0.0,5,256
17,0,8,9.0,3.0,1.0,1,256
18,0,8,9.0,6.0,1.0,4,256
19,4,8,9.0,2.0,2.0,0,256
20,0,8,9.0,6.0,0.0,4,256
21,0,8,9.0,3.0,2.0,1,256
22,0,8,9.0,5.0,1.0,3,256
23,0,8,9.0,2.0,3.0,0,256
24,0,8,9.0,6.0,0.0,4,256
25,71,8,9.0,2.0,1.0,0,256
26,0,8,9.0,6.0,2.0,4,256
27,6,8,9.0,2.0,3.0,0,256
28,1,8,9.0,5.0,0.0,3,256
29,4,8,9.0,2.0,2.0,0,256
30,0,8,9.0,5.0,2.0,3,256
31,0,8,9.0,2.0,4.0,0,256
32,0,8,9.0,7.0,0.0,5,256
33,0,8,9.0,3.0,1.0,2,256
34,0,8,9.0,5.0,0.0,2,256
35,190,8,9.0,1.0,1.0,0,256
36,0,8,9.0,6.0,0.0,4,256
37,0,8,9.0,3.0,2.0,2,256
38,9,8,9.0,4.0,0.0,1,256
39,13,8,9.0,1.0,2.0,0,256
40,0,8,9.0,6.0,0.0,3,256
41,62,8,9.0,2.0,1.0,0,256
42,0,8,9.0,5.0,1.0,2,256
43,26,8,9.0,1.0,2.0,0,256
44,0,8,9.0,5.0,0.0,2,256
45,3,8,9.0,2.0,2.0,0,256
46,1,8,9.0,4.0,1.0,1,256
47,1,8,9.0,1.0,3.0,0,256
48,0,8,9.0,5.0,0.0,3,256
49,0,8,9.0,2.0,2.0,1,256
50,0,8,9.0,4.0,1.0,2,256
51,1,8,9.0,1.0,3.0,0,256
52,1,8,9.0,4.0,0.0,2,256
53,0,8,9.0,2.0,3.0,1,256
54,2,8,9.0,3.0,1.0,1,256
55,0,8,9.0,1.0,4.0,0,256
56,0,8,9.0,4.0,0.0,2,256
57,30,8,9.0,1.0,2.0,0,256
58,0,8,9.0,4.0,2.0,2,256
59,2,8,9.0,1.0,4.0,0,256
60,18,8,9.0,3.0,0.0,1,256
61,6,8,9.0,1.0,3.0,0,256
62,0,8,9.0,3.0,2.0,1,256
63,0,8,9.0,1.0,5.0,0,256
64,0,8,9.0,6.0,0.0,4,256
65,3,8,9.0,2.0,1.0,2,256
66,1,8,9.0,4.0,0.0,1,256
67,1274,8,9.0,0.0,1.0,0,256
68,0,8,9.0,5.0,0.0,3,256
69,0,8,9.0,2.0,2.0,2,256
70,215,8,9.0,3.0,0.0,0,256
71,134,8,9.0,0.0,2.0,0,256
72,0,8,9.0,5.0,0.0,2,256
73,384,8,9.0,1.0,1.0,0,256
74,0,8,9.0,4.0,1.0,1,256
75,170,8,9.0,0.0,2.0,0,256
76,4,8,9.0,4.0,0.0,1,256
77,15,8,9.0,1.0,2.0,0,256
78,9,8,9.0,3.0,1.0,0,256
79,11,8,9.0,0.0,3.0,0,256
80,0,8,9.0,4.0,0.0,2,256
81,2,8,9.0,1.0,2.0,1,256
82,0,8,9.0,3.0,1.0,1,256
83,10,8,9.0,0.0,3.0,0,256
84,35,8,9.0,3.0,0.0,1,256
85,0,8,9.0,1.0,3.0,1,256
86,97,8,9.0,2.0,1.0,0,256
87,12,8,9.0,0.0,4.0,0,256
88,20,8,9.0,3.0,0.0,1,256
89,169,8,9.0,0.0,2.0,0,256
90,1,8,9.0,3.0,2.0,1,256
91,18,8,9.0,0.0,4.0,0,256
92,946,8,9.0,2.0,0.0,0,256
93,66,8,9.0,0.0,3.0,0,256
94,28,8,9.0,2.0,2.0,0,256
95,3,8,9.0,0.0,5.0,0,256
96,0,8,9.0,5.0,1.0,4,256
97,0,8,9.0,2.0,3.0,2,256
98,0,8,9.0,3.0,1.0,1,256
99,33,8,9.0,0.0,3.0,0,256
100,0,8,9.0,4.0,1.0,3,256
101,0,8,9.0,2.0,4.0,2,256
102,72,8,9.0,2.0,1.0,0,256
103,20,8,9.0,0.0,4.0,0,256
104,0,8,9.0,4.0,1.0,2,256
105,10,8,9.0,1.0,3.0,0,256
106,0,8,9.0,3.0,2.0,1,256
107,4,8,9.0,0.0,4.0,0,256
108,1,8,9.0,3.0,1.0,1,256
109,0,8,9.0,1.0,4.0,0,256
110,3,8,9.0,2.0,2.0,0,256
111,1,8,9.0,0.0,5.0,0,256
112,0,8,9.0,3.0,1.0,2,256
113,0,8,9.0,1.0,4.0,1,256
114,0,8,9.0,2.0,2.0,1,256
115,0,8,9.0,0.0,5.0,0,256
116,7,8,9.0,2.0,1.0,1,256
117,0,8,9.0,1.0,5.0,1,256
118,28,8,9.0,1.0,2.0,0,256
119,3,8,9.0,0.0,6.0,0,256
120,4,8,9.0,2.0,1.0,1,256
121,9,8,9.0,0.0,4.0,0,256
122,0,8,9.0,2.0,3.0,1,256
123,0,8,9.0,0.0,6.0,0,256
124,252,8,9.0,1.0,1.0,0,256
125,12,8,9.0,0.0,5.0,0,256
126,10,8,9.0,1.0,3.0,0,256
127,0,8,9.0,0.0,7.0,0,256
128,0,8,9.0,7.0,0.0,5,256
129,0,8,9.0,3.0,1.0,2,256
130,0,8,9.0,5.0,0.0,2,256
131,192,8,9.0,1.0,1.0,0,256
132,0,8,9.0,6.0,0.0,4,256
133,0,8,9.0,3.0,2.0,2,256
134,5,8,9.0,4.0,0.0,1,256
135,11,8,9.0,1.0,2.0,0,256
136,0,8,9.0,6.0,0.0,3,256
137,58,8,9.0,2.0,1.0,0,256
138,0,8,9.0,5.0,1.0,2,256
139,20,8,9.0,1.0,2.0,0,256
140,0,8,9.0,5.0,0.0,2,256
141,4,8,9.0,2.0,2.0,0,256
142,1,8,9.0,4.0,1.0,1,256
143,2,8,9.0,1.0,3.0,0,256
144,0,8,9.0,5.0,0.0,3,256
145,0,8,9.0,2.0,2.0,1,256
146,0,8,9.0,4.0,1.0,2,256
147,0,8,9.0,1.0,3.0,0,256
148,0,8,9.0,4.0,0.0,2,256
149,0,8,9.0,2.0,3.0,1,256
150,2,8,9.0,3.0,1.0,1,256
151,1,8,9.0,1.0,4.0,0,256
152,1,8,9.0,4.0,0.0,2,256
153,28,8,9.0,1.0,2.0,0,256
154,0,8,9.0,4.0,2.0,2,256
155,2,8,9.0,1.0,4.0,0,256
156,19,8,9.0,3.0,0.0,1,256
157,3,8,9.0,1.0,3.0,0,256
158,1,8,9.0,3.0,2.0,1,256
159,0,8,9.0,1.0,5.0,0,256
160,0,8,9.0,5.0,0.0,4,256
161,0,8,9.0,2.0,2.0,2,256
162,13,8,9.0,3.0,0.0,1,256
163,81,8,9.0,0.0,2.0,0,256
164,1,8,9.0,4.0,0.0,3,256
165,0,8,9.0,2.0,3.0,2,256
166,708,8,9.0,2.0,0.0,0,256
167,59,8,9.0,0.0,3.0,0,256
168,0,8,9.0,4.0,0.0,2,256
169,16,8,9.0,1.0,2.0,0,256
170,0,8,9.0,3.0,1.0,1,256
171,6,8,9.0,0.0,3.0,0,256
172,16,8,9.0,3.0,0.0,1,256
173,4,8,9.0,1.0,3.0,0,256
174,45,8,9.0,2.0,1.0,0,256
175,6,8,9.0,0.0,4.0,0,256
176,0,8,9.0,3.0,0.0,2,256
177,0,8,9.0,1.0,3.0,1,256
178,4,8,9.0,2.0,1.0,1,256
