,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
131,3294,4,5.0,1.0,0.0,0,16.0
132,848,4,5.0,2.0,0.0,0,16.0
133,310,4,5.0,1.0,1.0,0,16.0
134,280,4,5.0,1.0,1.0,0,16.0
135,256,4,5.0,0.0,2.0,0,16.0
136,879,4,5.0,2.0,0.0,0,16.0
137,282,4,5.0,1.0,1.0,0,16.0
138,280,4,5.0,1.0,1.0,0,16.0
139,276,4,5.0,0.0,2.0,0,16.0
140,2782,4,5.0,0.0,1.0,0,16.0
141,181,4,5.0,0.0,3.0,0,16.0
142,182,4,5.0,0.0,3.0,0,16.0
143,57,4,5.0,0.0,5.0,0,16.0
144,2,4,4.0,4.0,0.0,4,16.0
145,24,4,4.0,3.0,0.0,2,16.0
146,82,4,4.0,2.0,0.0,1,16.0
147,2096,4,4.0,1.0,0.0,0,16.0
148,74,4,4.0,2.0,0.0,1,16.0
149,2109,4,4.0,1.0,0.0,0,16.0
150,18,4,4.0,1.0,1.0,1,16.0
151,932,4,4.0,0.0,1.0,0,16.0
152,2626,4,4.0,1.0,0.0,0,16.0
153,103,4,4.0,1.0,1.0,0,16.0
154,694,4,4.0,0.0,1.0,0,16.0
155,214,4,4.0,0.0,2.0,0,16.0
156,658,4,4.0,0.0,1.0,0,16.0
157,223,4,4.0,0.0,2.0,0,16.0
158,69,4,4.0,0.0,3.0,0,16.0
159,66,4,4.0,0.0,4.0,0,16.0
160,8,4,4.0,4.0,0.0,4,16.0
161,95,4,4.0,2.0,0.0,1,16.0
162,21,4,4.0,3.0,0.0,2,16.0
163,2111,4,4.0,1.0,0.0,0,16.0
164,2560,4,4.0,1.0,0.0,0,16.0
165,652,4,4.0,0.0,1.0,0,16.0
166,91,4,4.0,1.0,1.0,0,16.0
167,219,4,4.0,0.0,2.0,0,16.0
168,67,4,4.0,2.0,0.0,1,16.0
169,22,4,4.0,1.0,1.0,1,16.0
170,2075,4,4.0,1.0,0.0,0,16.0
171,948,4,4.0,0.0,1.0,0,16.0
172,731,4,4.0,0.0,1.0,0,16.0
173,90,4,4.0,0.0,3.0,0,16.0
174,244,4,4.0,0.0,2.0,0,16.0
175,60,4,4.0,0.0,4.0,0,16.0
176,0,4,3.0,3.0,0.0,4,16.0
177,9,4,3.0,2.0,0.0,2,16.0
178,4,4,3.0,2.0,0.0,2,16.0
179,644,4,3.0,1.0,0.0,0,16.0
180,100,4,3.0,1.0,0.0,1,16.0
181,3904,4,3.0,0.0,0.0,0,16.0
182,8,4,3.0,1.0,1.0,1,16.0
183,436,4,3.0,0.0,1.0,0,16.0
184,122,4,3.0,1.0,0.0,1,16.0
185,5,4,3.0,1.0,1.0,1,16.0
186,3835,4,3.0,0.0,0.0,0,16.0
187,396,4,3.0,0.0,1.0,0,16.0
188,210,4,3.0,0.0,1.0,0,16.0
189,134,4,3.0,0.0,2.0,0,16.0
190,115,4,3.0,0.0,2.0,0,16.0
191,71,4,3.0,0.0,3.0,0,16.0
192,8,4,4.0,4.0,0.0,4,16.0
193,22,4,4.0,3.0,0.0,2,16.0
194,81,4,4.0,2.0,0.0,1,16.0
195,2150,4,4.0,1.0,0.0,0,16.0
196,2610,4,4.0,1.0,0.0,0,16.0
197,106,4,4.0,1.0,1.0,0,16.0
