,A,B,C,D,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,AB,BC,CD,AC,BD,AD,pedge00,pedge11,pnode,hnodes,lnodes,pedge
123,1,0,0,0,0,5,8,0,0,0,0,0,0,0,1,1,0,0,1,0,2.0,0.0,2.0,1.0,3.0,
124,0,1,0,0,2033,4608,217,5,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0,1.0,3.0,
125,0,0,1,0,1,3,5,0,0,0,0,0,0,0,1,1,0,0,1,0,2.0,0.0,2.0,1.0,3.0,
126,0,0,0,1,2,9,7,0,0,0,0,0,0,0,1,1,0,0,1,0,2.0,0.0,2.0,1.0,3.0,
127,0,0,0,0,1,7,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3.0,0.0,4.0,0.0,4.0,
128,1,1,1,1,10,35,14,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0,4.0,0.0,4.0,0.0,
129,0,1,1,1,34,130,51,2,0,0,0,0,0,0,1,0,1,1,1,0,0.0,2.0,0.0,3.0,1.0,
130,1,0,1,1,22,126,74,1,0,0,0,0,0,0,1,0,1,1,1,0,0.0,2.0,0.0,3.0,1.0,
131,1,1,0,1,22,121,68,3,0,0,0,0,0,0,1,0,1,1,1,0,0.0,2.0,0.0,3.0,1.0,
132,1,1,1,0,32,129,53,2,0,0,0,0,0,0,1,0,1,1,1,0,0.0,2.0,0.0,3.0,1.0,
133,1,1,0,0,6,52,74,6,0,0,0,0,0,0,1,0,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
134,1,0,1,0,4,44,68,3,0,0,0,0,0,0,1,0,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
135,1,0,0,1,1224,5974,900,36,0,0,0,0,0,0,1,0,1,1,1,0,0.0,0.0,0.0,2.0,2.0,
136,0,1,1,0,1338,5981,888,39,0,0,0,0,0,0,1,0,1,1,1,0,0.0,0.0,0.0,2.0,2.0,
137,0,1,0,1,5,41,84,3,0,0,0,0,0,0,1,0,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
138,0,0,1,1,4,46,82,5,0,0,0,0,0,0,1,0,1,1,1,0,1.0,1.0,0.0,2.0,2.0,
139,1,0,0,0,6,24,64,3,0,0,0,0,0,0,1,0,1,1,1,0,2.0,0.0,1.0,1.0,3.0,
140,0,1,0,0,4,17,58,6,0,0,0,0,0,0,1,0,1,1,1,0,2.0,0.0,1.0,1.0,3.0,
141,0,0,1,0,1,24,59,5,0,0,0,0,0,0,1,0,1,1,1,0,2.0,0.0,1.0,1.0,3.0,
142,0,0,0,1,3,32,64,6,0,0,0,0,0,0,1,0,1,1,1,0,2.0,0.0,1.0,1.0,3.0,
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4.0,0.0,4.0,0.0,4.0,
144,1,1,1,1,33,55,13,1,0,0,0,0,0,0,1,0,1,1,0,0,0.0,3.0,0.0,4.0,0.0,
145,0,1,1,1,176,399,108,5,0,0,0,0,0,0,1,0,1,1,0,0,0.0,1.0,0.0,3.0,1.0,
146,1,0,1,1,56,130,19,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,2.0,0.0,3.0,1.0,
147,1,1,0,1,186,414,148,5,0,0,0,0,0,0,1,0,1,1,0,0,0.0,1.0,0.0,3.0,1.0,
148,1,1,1,0,66,145,18,1,0,0,0,0,0,0,1,0,1,1,0,0,0.0,2.0,0.0,3.0,1.0,
149,1,1,0,0,3,7,6,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,1.0,1.0,2.0,2.0,
150,1,0,1,0,71,176,91,17,2,0,0,0,0,0,1,0,1,1,0,0,0.0,1.0,0.0,2.0,2.0,
151,1,0,0,1,1674,3711,934,29,1,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,2.0,2.0,
152,0,1,1,0,1820,3731,934,29,1,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,2.0,2.0,
153,0,1,0,1,113,491,447,20,1,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,0.0,2.0,2.0,
154,0,0,1,1,1,5,7,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,1.0,1.0,2.0,2.0,
155,1,0,0,0,30,110,91,5,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,1.0,1.0,3.0,
156,0,1,0,0,3,8,2,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,0.0,2.0,1.0,3.0,
157,0,0,1,0,25,99,80,4,0,0,0,0,0,0,1,0,1,1,0,0,1.0,0.0,1.0,1.0,3.0,
158,0,0,0,1,1,7,5,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,0.0,2.0,1.0,3.0,
159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3.0,0.0,4.0,0.0,4.0,
160,1,1,1,1,44,50,22,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,3.0,0.0,4.0,0.0,
161,0,1,1,1,177,393,136,2,0,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0,0.0,3.0,1.0,
162,1,0,1,1,184,367,124,1,1,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0,0.0,3.0,1.0,
163,1,1,0,1,73,142,15,1,0,0,0,0,0,0,1,0,0,1,1,0,0.0,2.0,0.0,3.0,1.0,
164,1,1,1,0,72,126,11,0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,2.0,0.0,3.0,1.0,
165,1,1,0,0,57,197,89,13,0,0,0,0,0,0,1,0,0,1,1,0,0.0,1.0,0.0,2.0,2.0,
166,1,0,1,0,1,3,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1.0,1.0,1.0,2.0,2.0,
167,1,0,0,1,1797,3784,927,24,2,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0,2.0,2.0,
168,0,1,1,0,1735,3752,923,26,2,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0,2.0,2.0,
169,0,1,0,1,3,6,6,0,0,0,0,0,0,0,1,0,0,1,1,0,1.0,1.0,1.0,2.0,2.0,
170,0,0,1,1,122,392,463,17,1,0,0,0,0,0,1,0,0,1,1,0,1.0,0.0,0.0,2.0,2.0,
171,1,0,0,0,13,93,82,4,1,0,0,0,0,0,1,0,0,1,1,0,1.0,0.0,1.0,1.0,3.0,
172,0,1,0,0,26,103,65,5,1,0,0,0,0,0,1,0,0,1,1,0,1.0,0.0,1.0,1.0,3.0,
173,0,0,1,0,3,2,6,1,0,0,0,0,0,0,1,0,0,1,1,0,2.0,0.0,2.0,1.0,3.0,
174,0,0,0,1,3,2,3,2,1,0,0,0,0,0,1,0,0,1,1,0,2.0,0.0,2.0,1.0,3.0,
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3.0,0.0,4.0,0.0,4.0,
